     4    22     2    22
     5    22     3     2
     6    22    22     3
     2     2     1    22
     3     3    22     1
     1     1    22    22
     7    22     4    22
     8    22     5     4
     9    22     6     5
    10    22    22     6
     4     4     2    22
     5     5     3     2
     6     6    22     3
     2     2     1    22
     3     3    22     1
     1     1    22    22
    11    22     7    22
    12    22     8     7
    13    22     9     8
    14    22    10     9
    15    22    22    10
     7     7     4    22
     8     8     5     4
     9     9     6     5
    10    10    22     6
     4     4     2    22
     5     5     3     2
     6     6    22     3
     2     2     1    22
     3     3    22     1
     1     1    22    22
    16    22    11    22
    17    22    12    11
    18    22    13    12
    19    22    14    13
    20    22    15    14
    21    22    22    15
    11    11     7    22
    12    12     8     7
    13    13     9     8
    14    14    10     9
    15    15    22    10
     7     7     4    22
     8     8     5     4
     9     9     6     5
    10    10    22     6
     4     4     2    22
     5     5     3     2
     6     6    22     3
     2     2     1    22
     3     3    22     1
     1     1    22    22
