18 
   0.0000000000    0.0000000000    1.0000000000 
   1.0000000000    0.0000000000    0.0000000000 
   0.0000000000    1.0000000000    0.0000000000 
  -1.0000000000    0.0000000000    0.0000000000 
   0.0000000000   -1.0000000000    0.0000000000 
   0.0000000000    0.0000000000   -1.0000000000 
   0.7071067812    0.0000000000    0.7071067812 
   0.7071067812    0.7071067812    0.0000000000 
   0.0000000000    0.7071067812    0.7071067812 
  -0.7071067812    0.7071067812    0.0000000000 
  -0.7071067812    0.0000000000    0.7071067812 
  -0.7071067812   -0.7071067812    0.0000000000 
   0.0000000000   -0.7071067812    0.7071067812 
   0.7071067812   -0.7071067812    0.0000000000 
   0.0000000000    0.7071067812   -0.7071067812 
   0.7071067812    0.0000000000   -0.7071067812 
  -0.7071067812    0.0000000000   -0.7071067812 
   0.0000000000   -0.7071067812   -0.7071067812 
32 
1 7 9 
2 8 7 
3 9 8 
7 8 9 
1 9 11 
3 10 9 
4 11 10 
9 10 11 
1 11 13 
4 12 11 
5 13 12 
11 12 13 
1 13 7 
5 14 13 
2 7 14 
13 14 7 
6 15 16 
3 8 15 
2 16 8 
15 8 16 
6 17 15 
4 10 17 
3 15 10 
17 10 15 
6 18 17 
5 12 18 
4 17 12 
18 12 17 
6 16 18 
2 14 16 
5 18 14 
16 14 18 
