36
 0.5  0.375    
 0.3125  0.625    
 0.6875  0.20833299999999999    
 0.21875  0.45833299999999999    
 0.59375  0.70833299999999999    
 0.40625  0.29166700000000001    
 0.78125  0.54166700000000001    
 0.171875  0.79166700000000001    
 0.546875  0.152778    
 0.359375  0.40277800000000002    
 0.734375  0.65277799999999997    
 0.265625  0.23611099999999999    
 0.640625  0.48611100000000002    
 0.453125  0.73611099999999996    
 0.828125  0.31944400000000001    
 0.14843799999999999  0.56944399999999995    
 0.52343799999999996  0.81944399999999995   
 0.33593800000000001  0.18055599999999999  
 0.71093799999999996  0.43055599999999999 
 0.24218799999999999  0.68055600000000005
 0.25  0    
 1  0.25    
 0.75  1    
 0  0.75    
 0.5  0    
 1  0.5   
 0.5  1  
 0  0.5 
 0.75  0 
 1  0.75 
 0.25  1
 0  0.25
 1  0 
 1  1
 0  1
 0  0
52
     36    21    32
     32     4    28
     12     4    32
     32    21    12
      6    18     9
      18    12    21
      12     6    10
       6    12    18
      12    10     4
      10     6     1
      18    21    25
       4    10     2
      28    16    24
      28     4    16
       8    35    24
      24    16     8
      20     2    14
       2    20    16
       8    14    31
      14     8    20
      31    14    17
       8    31    35
      14     2    13
      20     8    16
       4     2    16
       9    18    25
       9     3     1
       3     9    29
      13     5    14
      19    13     1
       1     3    19
       9     1     6
      29    33    22
       7    19    15
      19     3    15
      22    15    29
      13    19     7
      15     3    29
       9    25    29
      22    26    15
      17     5    23
       5    13    11
      23    27    17
      27    31    17
      23     5    11
      17    14     5
       7    26    30
      26     7    15
      23    30    34
      23    11    30
      30    11     7
      13     7    11
